Arabic,Translation
يَا عَلِيُّ يَا عَظِيمُ,O Most High! O All-great!
يَا غَفُورُ يَا رَحِيمُ,O All-forgiving! O All-merciful!
أَنْتَ ٱلرَّبُّ ٱلْعَظِيمُ,You are the All-great Lord
ٱلَّذِي لَيْسَ كَمِثْلِهِ شَيْءٌ,like Whom there is nothing,
وَهُوَ ٱلسَّمِيعُ ٱلْبَصِيرُ,"and He is the All-hearing, the All-aware."
وَهٰذَا شَهْرٌ عَظَّمْتَهُ وَكَرَّمْتَهُ,"This is a month that You have glorified, ennobled,"
وَشَرَّفْتَهُ وَفَضَّلْتَهُ عَلَىٰ ٱلشُّهُورِ,"honored, and preferred to the other months."
وَهُوَ ٱلشَّهْرُ ٱلَّذِي فَرَضْتَ صِيَامَهُ عَلَيَّ,It is the month that You imposed upon me to observe fasting in it.
وَهُوَ شَهْرُ رَمَضَانَ ٱلَّذِي أَنْزَلْتَ فِيهِ الْقُرْآنَ,It is the month of Ramadan during which You revealed the Qur'an
هُدَىً لِلنَّاسِ وَبَيِّنَاتٍ مِنَ ٱلْهُدَىٰ وَٱلْفُرْقَانِ,"as guidance for people, clear proofs on true guidance, and distinction (between the right and the wrong)."
وَجَعَلْتَ فِيهِ لَيْلَةَ ٱلْقَدْرِ,You decided the Grand Night to be in it
وَجَعَلْتَهَا خَيْراً مِنَ الفِ شَهْرٍ,and You have decided it to be more favorable that one thousand months.
فَيَا ذَا ٱلْمَنِّ وَلاَ يُمَنُّ عَلَيْكَ,"So, O Lord of graces! None can ever do favor to You!"
مُنَّ عَلَيَّ بِفَكَاكِ رَقَبَتِي مِنَ ٱلنَّارِ فِي مَنْ تَمُنُّ عَلَيْهِ,"please, do me a favor by releasing me from the Fire and by including me with those to whom You do this favor,"
وَأَدْخِلْنِي ٱلْجَنَّةَ,and allow me to enter Paradise,
بِرَحْمَتِكَ يَا أَرْحَمَ ٱلرَّاحِمِينَ,on account of Your mercy. O most Merciful of all those who show mercy!








